subjects	S	distractor	R	rt
1	nonword	dutch	nonword	0.634563085133991
1	nonword	dutch	word	0.646002782895481
1	word	dutch	word	0.546395199032764
1	nonword	english	nonword	0.581039717093535
1	nonword	english	nonword	0.656003068986497
1	nonword	dutch	nonword	0.614543616236846
1	nonword	english	nonword	0.458956436568728
1	word	dutch	word	0.415667409520291
1	nonword	dutch	nonword	1.06936091790331
1	word	dutch	word	0.463946021686084
1	word	english	word	0.568263792990882
1	word	english	word	0.555254934759724
1	word	english	word	0.49042661591652
1	word	english	word	0.627286374910931
1	word	english	word	0.538746409746864
1	nonword	dutch	nonword	0.530174855950235
1	nonword	english	word	0.534955755587229
1	nonword	english	word	0.968301571023638
1	word	english	word	0.422530069777527
1	nonword	dutch	nonword	0.414030325202691
1	nonword	dutch	word	0.442607425367707
1	word	dutch	word	0.731783298754339
1	nonword	dutch	nonword	0.538365980518475
1	nonword	dutch	word	0.419430990052497
1	word	english	word	0.429785568364505
1	nonword	english	nonword	0.755396143466687
1	nonword	dutch	nonword	0.482223789569455
1	word	english	word	0.508978718030196
1	word	dutch	word	0.706558971999506
1	nonword	dutch	nonword	0.498719856267379
1	nonword	english	nonword	0.636951578293208
1	word	dutch	word	0.678589244470459
1	nonword	dutch	nonword	0.56559605768817
1	word	dutch	word	0.701704443940747
1	nonword	english	nonword	0.443864584844513
1	nonword	dutch	nonword	0.475460544895281
1	word	english	word	0.47560697445771
1	nonword	dutch	nonword	0.602721571613978
1	nonword	english	nonword	0.555225099871235
1	word	english	nonword	0.40802340364164
1	nonword	english	nonword	1.00974973648155
1	nonword	dutch	nonword	0.400842490610115
1	nonword	dutch	nonword	0.460705229148833
1	nonword	dutch	nonword	0.415877284019003
1	word	dutch	word	0.523999165036902
1	nonword	dutch	nonword	0.702651274291263
1	word	dutch	word	0.586559880157511
1	nonword	english	word	0.703298527999284
1	nonword	dutch	nonword	0.536231476558378
1	nonword	english	nonword	0.475751448432668
1	word	dutch	word	0.56972601195832
1	nonword	english	nonword	0.438292282946982
1	nonword	dutch	nonword	0.423333512770862
1	nonword	english	nonword	0.415787886865368
1	nonword	dutch	nonword	0.480881472121839
1	nonword	english	word	0.841346774513832
1	word	dutch	nonword	0.531255698575869
1	nonword	english	nonword	0.49593895000202
1	word	dutch	word	0.492286633090727
1	nonword	dutch	nonword	0.696372132984212
1	nonword	english	nonword	0.789524230315196
1	nonword	dutch	nonword	0.414869643519341
1	word	english	word	0.49455824253321
1	nonword	english	nonword	0.431286862792964
1	word	dutch	word	0.512541366270018
1	word	dutch	word	0.670582051131783
1	word	english	word	0.682184947301745
1	word	dutch	word	0.728900194225332
1	nonword	english	nonword	0.478185117960037
1	nonword	dutch	nonword	0.543013831573153
1	word	english	word	0.557352913502719
1	nonword	dutch	nonword	0.68367151491103
1	word	english	word	0.63997029779166
1	nonword	dutch	nonword	0.458003966825768
1	nonword	dutch	nonword	0.416338752904891
1	word	english	word	0.512640895797718
1	word	dutch	word	0.455742598072041
1	word	dutch	nonword	0.453510790240261
1	word	dutch	word	0.596573437034835
1	nonword	dutch	nonword	0.435595050154211
1	word	english	word	0.442863472648949
1	nonword	english	word	0.437521817972382
1	word	english	word	0.593818141482469
1	word	english	word	0.843753377074466
1	word	dutch	word	0.843890579873637
1	nonword	english	nonword	0.485867745364387
1	word	english	word	0.411213495671649
1	nonword	english	nonword	0.503907023038539
1	nonword	english	nonword	0.625576785366429
1	word	dutch	word	0.400385952177189
1	word	dutch	word	0.606048810773268
1	word	english	word	0.480705130011493
1	nonword	dutch	nonword	0.64104035419112
1	nonword	dutch	word	0.431290863671838
1	nonword	english	word	0.488262573699814
1	nonword	dutch	nonword	0.717828272890616
1	nonword	dutch	nonword	0.47849892428983
1	nonword	english	nonword	0.533679274280239
1	nonword	english	word	0.428310421186539
1	word	dutch	word	0.498224230383293
1	nonword	english	nonword	0.524526034775575
1	nonword	english	nonword	0.552627254922839
1	word	english	word	0.432196767084059
1	word	english	word	0.588395396441714
1	nonword	english	nonword	0.570021208149633
1	word	english	word	0.458645513535055
1	nonword	dutch	nonword	0.418219486994882
1	nonword	english	nonword	0.449729962172107
1	word	english	nonword	0.52954416480605
1	nonword	dutch	nonword	0.471669341467942
1	word	english	word	0.696126525268116
1	word	english	word	0.526075837471105
1	word	english	nonword	0.487062891503711
1	nonword	dutch	nonword	0.61205478336812
1	word	english	word	0.402505641915729
1	word	dutch	word	0.459599897887223
1	word	dutch	word	0.561439654643989
1	word	dutch	word	0.51424651488843
1	word	dutch	word	0.535326138626372
1	nonword	dutch	nonword	0.454834391308802
1	word	dutch	word	0.457731634564751
1	word	english	word	0.489956938518449
1	nonword	english	word	0.882398506682544
1	nonword	english	nonword	0.550524115940084
1	word	english	word	0.505684991785981
1	nonword	english	nonword	0.44917623662536
1	nonword	dutch	nonword	0.43631654981845
1	word	english	word	0.553381067758902
1	word	english	nonword	0.419240748820099
1	nonword	english	nonword	0.538267990597516
1	word	dutch	word	0.403708425578187
1	nonword	english	nonword	0.533776474393844
1	nonword	dutch	nonword	0.531907377114706
1	nonword	english	nonword	0.574040856594533
1	nonword	dutch	nonword	0.449740072235965
1	nonword	dutch	nonword	0.607422632298545
1	word	english	word	0.47840210389468
1	word	english	word	0.519887195789247
1	word	english	word	0.570869918664071
1	nonword	english	nonword	0.427172843915848
1	word	dutch	word	0.479757869701653
1	word	dutch	word	0.52839474166379
1	word	dutch	word	0.492697574031645
1	nonword	dutch	nonword	0.427063210616723
1	nonword	english	word	0.457887356383232
1	nonword	english	word	0.721577982689527
1	word	dutch	word	0.456683800590421
1	nonword	english	nonword	0.797500032257217
1	word	english	word	0.68741084355674
1	nonword	english	nonword	0.405553831519954
1	nonword	dutch	nonword	0.385286488836093
1	word	english	word	0.597513671101063
1	word	dutch	word	0.447188043290162
1	nonword	english	nonword	0.537995156510614
1	word	dutch	word	0.432510810565957
1	word	english	word	0.40118602277984
1	word	dutch	word	0.488129607589352
1	word	dutch	word	0.549279299948178
1	nonword	dutch	nonword	0.765364503757544
1	word	english	word	0.404659766991701
1	nonword	english	nonword	0.413796279334501
1	nonword	english	nonword	0.689635490072645
1	nonword	dutch	nonword	0.407676968663383
1	nonword	english	nonword	0.589026605054114
1	word	english	word	0.446666135539085
1	nonword	dutch	nonword	0.422333461724479
1	word	english	word	0.713943587394951
1	nonword	english	word	0.586555091493422
1	word	english	word	0.416234796614757
1	word	dutch	word	0.491409620060098
1	word	english	nonword	0.723665079676429
1	word	dutch	word	0.608321222408829
1	nonword	dutch	nonword	0.612799271743355
1	word	dutch	word	0.807181081581119
1	word	dutch	word	0.570933775836038
1	nonword	dutch	nonword	0.592336679947002
1	nonword	dutch	word	0.400916157673799
1	nonword	english	nonword	0.406807039705128
1	nonword	dutch	nonword	0.496436433420316
1	word	dutch	word	0.454577271742697
1	nonword	dutch	nonword	0.52844071485873
1	word	english	word	0.422792844008074
1	word	english	word	0.543830560393192
1	nonword	dutch	word	1.00683564727584
1	nonword	english	nonword	0.514804667775194
1	word	dutch	word	0.616219370631503
1	nonword	dutch	nonword	0.77203167766899
1	word	english	word	0.414165216287861
1	word	english	word	0.583250160048657
1	nonword	dutch	nonword	0.405409597062016
1	nonword	dutch	nonword	0.423012008502428
1	nonword	english	nonword	0.433211246629865
1	word	dutch	word	0.721296587523863
1	word	english	nonword	1.00756680486729
1	nonword	english	nonword	0.518917077628662
1	word	dutch	word	0.43775902075151
1	word	english	word	0.769472971801448
1	nonword	dutch	nonword	0.470884414000712
1	word	english	word	0.506839483996711
1	nonword	english	nonword	0.446438317485374
1	word	english	word	0.473328233517407
1	word	dutch	word	0.622219475934278
1	word	english	word	0.519940258890047
1	word	dutch	word	0.436818538623307
1	word	dutch	word	0.547906648542977
1	nonword	dutch	nonword	0.417006035136309
1	word	english	word	0.432251569308585
1	nonword	dutch	word	0.453757936139279
1	nonword	dutch	nonword	0.612202933315986
1	nonword	english	nonword	0.485043650277346
1	nonword	english	nonword	0.696579725428859
1	word	english	word	0.576295477397078
1	word	english	word	0.496810552081447
1	nonword	english	nonword	0.849059708961942
1	nonword	english	nonword	0.516321613669778
1	nonword	dutch	nonword	1.00130042480978
1	word	dutch	word	0.557233142364718
1	word	english	word	0.564551119665345
1	nonword	english	nonword	0.573033105190987
1	word	dutch	word	0.566588647549638
1	word	english	word	1.00375211293087
1	nonword	dutch	nonword	0.403991697127836
1	word	dutch	word	0.679454975724435
1	nonword	english	nonword	0.478582842752402
1	nonword	english	nonword	0.660687168445515
1	word	english	word	0.451010005327106
1	word	dutch	nonword	0.485364616148835
1	word	dutch	nonword	0.41221093716496
1	word	english	word	0.429953312892656
1	nonword	english	nonword	0.841338243805881
1	nonword	english	nonword	0.48469996817221
1	word	english	word	0.413225756454907
1	word	english	word	0.420650479837694
1	nonword	dutch	nonword	0.415550576097183
1	nonword	dutch	nonword	0.595460312249435
1	nonword	dutch	nonword	0.413804522686163
1	word	dutch	word	0.609695491162023
1	nonword	english	nonword	0.6243680255948
1	word	dutch	word	0.558899291549248
1	word	dutch	word	0.675991303344892
1	word	english	word	0.486875699287035
1	word	english	word	0.97157844265187
1	nonword	english	nonword	0.804158793009584
1	nonword	dutch	nonword	0.522214755470313
1	word	dutch	word	0.721724261395995
1	word	english	word	0.409334332687257
1	nonword	english	nonword	0.424522642502433
1	word	english	word	0.551156950302267
1	word	dutch	word	0.438812592653032
1	nonword	dutch	nonword	0.530134889052941
1	nonword	dutch	nonword	0.489598511188276
1	word	english	nonword	0.625622010723371
1	nonword	english	nonword	0.537977571121555
1	word	english	word	0.47130842220891
1	nonword	dutch	nonword	0.534696609799425
1	nonword	english	nonword	0.416608309433919
1	word	dutch	nonword	0.543661199117317
1	nonword	dutch	nonword	0.490686652525902
1	nonword	dutch	word	0.572427891757948
1	word	dutch	word	0.767261343472599
1	nonword	dutch	nonword	0.536794512487234
1	word	dutch	word	0.596049899267173
1	word	dutch	word	0.434903504970506
1	word	dutch	nonword	0.738394286528774
1	word	english	word	0.86865338585886
1	word	english	word	0.489725044439801
1	nonword	english	nonword	0.514154174965592
1	word	dutch	word	0.470492014128234
1	word	dutch	word	0.601076512775268
1	word	english	nonword	0.468134555989201
1	nonword	english	nonword	0.431624018637556
1	nonword	dutch	word	0.4088609448341
1	word	english	word	0.555896393472459
1	nonword	english	nonword	0.492095407329609
1	nonword	dutch	nonword	0.633014507051365
1	nonword	english	word	1.0531177384535
1	word	dutch	word	0.701890547599057
1	word	dutch	nonword	0.420954260411334
1	word	english	word	0.467421633649988
1	nonword	english	nonword	0.528387781331715
1	nonword	dutch	nonword	0.547868955250339
1	nonword	dutch	nonword	0.497628039463864
1	nonword	dutch	nonword	0.684694563523667
1	nonword	dutch	nonword	0.412567304767104
1	word	dutch	word	0.682521806133627
1	word	dutch	nonword	0.427646923998466
1	word	english	word	0.444614864773166
1	nonword	dutch	nonword	0.619778542951184
1	nonword	dutch	nonword	0.429957308345463
1	word	english	word	0.445086074065205
1	word	dutch	nonword	0.626350104829475
1	nonword	english	nonword	0.50832274404157
1	word	dutch	word	0.436649325692138
1	word	dutch	nonword	0.694078241197196
1	word	dutch	word	0.41535668714188
1	word	dutch	word	0.469355775703769
1	nonword	dutch	nonword	0.551595249043889
1	word	english	word	0.535312639650128
1	nonword	english	nonword	0.570388701909894
1	word	english	word	0.522737129450069
1	word	dutch	word	0.501732378881057
1	word	dutch	word	0.472445131112491
1	word	english	word	0.457532512483187
1	nonword	english	nonword	0.604827966709456
1	word	dutch	word	0.506373685207961
1	word	dutch	nonword	0.984305646880819
1	word	dutch	word	0.713199065268757
1	nonword	english	word	0.536502542658907
1	nonword	dutch	nonword	0.433916479339684
1	word	dutch	word	0.584455585930087
1	word	dutch	word	0.546230258470659
1	nonword	english	nonword	0.589345146428659
1	nonword	english	nonword	0.65944501826662
1	nonword	dutch	nonword	0.434612154342964
1	nonword	english	nonword	0.546389611646491
1	word	dutch	word	0.44171231642363
1	nonword	dutch	nonword	0.492759567764265
1	word	english	word	0.544755357482763
1	nonword	dutch	word	0.509546735261842
1	nonword	english	nonword	0.409203941971857
1	nonword	english	nonword	0.685014569601327
1	word	english	word	0.477344078710523
1	nonword	english	nonword	0.514692196623969
1	nonword	english	nonword	0.518920833154944
1	nonword	english	nonword	0.560055279186317
1	word	dutch	word	0.406238900804071
1	word	dutch	word	0.395992046407766
1	nonword	dutch	word	0.495499173454141
1	word	dutch	word	0.826763342632126
1	nonword	english	nonword	0.40053856667835
1	nonword	dutch	nonword	0.446017920517358
1	nonword	english	nonword	0.408046094380211
1	nonword	dutch	nonword	0.435623055373641
1	nonword	english	nonword	0.431336881393281
1	nonword	english	word	0.467983124654523
1	nonword	dutch	nonword	0.705229951285935
1	nonword	english	nonword	0.534846611760931
1	word	english	word	0.86040240172978
1	word	english	word	0.651313965298758
1	nonword	dutch	word	0.928995742546334
1	nonword	english	nonword	0.634038422137086
1	word	english	word	0.400901476887755
1	nonword	english	nonword	0.708189565532021
1	nonword	english	nonword	0.592673330332086
1	nonword	english	nonword	0.415742422917351
1	word	english	nonword	0.736524972145238
1	word	english	word	0.606265709482915
1	word	english	word	0.430729993809489
1	nonword	english	nonword	0.595988871393029
1	word	dutch	word	0.479176577541664
1	nonword	english	nonword	0.845159428618077
1	word	dutch	word	0.489125762900885
1	nonword	english	nonword	0.556295450265648
1	word	english	word	0.62132917305666
1	nonword	english	nonword	0.555088154108697
1	nonword	english	nonword	0.518324701684773
1	nonword	dutch	nonword	0.420503201475026
1	word	dutch	nonword	0.553464812117362
1	word	dutch	word	0.62800294140554
1	word	dutch	word	1.3740853547959
1	nonword	english	nonword	0.613356711829235
1	nonword	dutch	nonword	0.528151789560732
1	nonword	dutch	word	0.39719955948242
1	nonword	english	nonword	0.579424488237672
1	nonword	dutch	nonword	0.489348323939334
1	nonword	english	nonword	0.410429526395728
1	word	english	word	0.509584671690987
1	nonword	dutch	nonword	0.512703134979197
1	word	dutch	nonword	0.471338816069975
1	nonword	dutch	nonword	0.627206624670886
1	word	english	word	0.506366145271123
1	nonword	dutch	word	0.40865048039328
1	nonword	dutch	nonword	0.637945458658261
1	nonword	dutch	nonword	0.391727579916556
1	word	english	word	0.423569914618826
1	nonword	dutch	nonword	0.535207262625198
1	word	english	word	0.506640040039323
1	word	english	word	0.707131035505408
1	nonword	english	nonword	0.708834001650513
1	word	dutch	nonword	0.478553214131044
1	nonword	english	nonword	0.666048641394282
1	word	english	word	0.639945545880109
1	word	dutch	word	0.475788324981283
1	word	dutch	word	0.467341379387195
1	nonword	english	nonword	0.397996274016766
1	word	dutch	word	0.465331574374299
1	word	dutch	word	0.45559180361001
1	word	dutch	word	0.434013562535204
1	word	dutch	word	0.492133253077001
1	word	dutch	word	0.425580624795194
1	word	dutch	word	0.58258677232929
1	nonword	dutch	nonword	0.758605649748619
1	word	english	word	0.528178398950126
1	nonword	english	nonword	0.430167380964601
1	word	english	word	0.421716202407052
1	word	dutch	nonword	0.414131624249551
1	word	english	word	0.484970475701432
1	nonword	english	nonword	0.484446992060395
1	word	english	word	0.690969626912435
1	word	dutch	word	0.661471554527003
1	nonword	dutch	nonword	0.538457636370405
1	nonword	dutch	nonword	0.401878263042576
1	word	english	word	0.805540422357361
1	word	english	word	0.613826538890564
1	word	english	word	0.736389850112845
1	word	dutch	word	0.459265283572856
1	word	english	word	0.480880687016811
1	nonword	english	nonword	0.79361880886317
1	word	english	word	0.558006907948224
1	nonword	dutch	nonword	0.395217289720294
1	word	english	word	0.551167119346922
1	word	english	word	0.480390581401351
1	word	dutch	nonword	0.745526244574831
1	word	dutch	word	0.43793681903
1	word	english	word	0.570485250858
1	word	english	word	0.508971783719096
1	nonword	english	nonword	0.707593259711323
1	nonword	english	nonword	0.682047128191115
1	word	dutch	word	0.405140723419979
1	nonword	dutch	nonword	0.530879718982448
1	word	dutch	word	0.482621953415273
1	nonword	dutch	nonword	0.541385105273515
1	word	english	nonword	0.441974867774918
1	nonword	dutch	nonword	0.4957909657684
1	word	english	word	0.412391793132955
1	nonword	dutch	word	0.528651613720352
1	word	dutch	word	0.557784450850246
1	word	english	word	0.502404755637496
1	word	dutch	word	0.435469232191938
1	nonword	english	nonword	0.561007796839816
1	word	dutch	word	0.499668242144214
